,City,Country,Date,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloudiness,Hotel Name
28,xining,CN,1588574162,70.07,36.62,101.77,14,7.4,0,Sofitel Xining
137,avarua,CK,1588574214,75.2,-21.21,-159.78,88,3.36,0,The Rarotongan Beach Resort & Lagoonarium
218,kitui,KE,1588574249,74.46,-1.37,38.01,53,6.04,0,Igloos Resort
268,waddan,LY,1588574275,71.44,29.16,16.14,36,7.05,0,
315,mwense,ZM,1588574295,74.35,-10.38,28.7,46,7.56,0,
332,namikupa,TZ,1588574302,77.63,-10.83,39.6,64,7.23,0,
337,hun,LY,1588574304,71.26,29.13,15.95,36,6.71,0,Al Nakhel Hotel
364,jijiga,ET,1588574074,72.81,9.35,42.8,42,5.46,0,ZM International Hotel
413,komsomolskiy,UZ,1588574338,75.2,40.43,71.72,29,4.7,0,Hotel Mehmon Saroy
415,vila velha,BR,1588574340,70.75,-20.33,-40.29,68,9.17,0,Golden Tulip Porto Vitória
424,choix,MX,1588574343,75.79,26.71,-108.32,29,3.18,0,Huites Hotel
449,beloha,MG,1588574357,77.61,-25.17,45.05,51,6.89,0,
466,erenhot,CN,1588574364,71.22,43.65,111.98,14,9.95,0,Moli International Hotel
530,guane,CU,1588574394,72.9,22.2,-84.09,81,6.2,0,Campismo El Salto de los Portales
549,kalabo,ZM,1588574403,73.11,-14.97,22.68,37,7.45,0,HM Sams Lodge
